;category;month;pageimpressions;CR;cat_id
0;Herren-Halbschuhe;1.0;86496.0;0.239571772105068;1
1;Herren-Halbschuhe;2.0;75529.0;0.240967045770499;1
2;Herren-Halbschuhe;3.0;84195.0;0.232252031212292;1
3;Herren-Halbschuhe;4.0;92861.0;0.226736735550985;1
4;Herren-Halbschuhe;5.0;93876.0;0.244609910946355;1
5;Herren-Halbschuhe;6.0;73075.0;0.209825521724256;1
6;Herren-Halbschuhe;7.0;81014.0;0.205211444935443;1
7;Herren-Halbschuhe;8.0;86341.0;0.210548870177552;1
8;Herren-Halbschuhe;9.0;92675.0;0.219239277043431;1
9;Herren-Halbschuhe;10.0;99431.0;0.221409821886534;1
10;Herren-Halbschuhe;11.0;103734.0;0.22530703530183;1
11;Herren-Halbschuhe;12.0;82945.0;0.217553800711315;1
12;Homöopathie;1.0;103045.0;0.346955213741569;2
13;Homöopathie;2.0;91365.0;0.365522902643244;2
14;Homöopathie;3.0;102770.0;0.356232363530213;2
15;Homöopathie;4.0;97353.0;0.343666861832712;2
16;Homöopathie;5.0;99076.0;0.393687674108765;2
17;Homöopathie;6.0;85304.0;0.370498452593079;2
18;Homöopathie;7.0;75536.0;0.41130057191273;2
19;Homöopathie;8.0;73246.0;0.436378778363324;2
20;Homöopathie;9.0;75963.0;0.439319142213973;2
21;Homöopathie;10.0;85579.0;0.433307236588415;2
22;Homöopathie;11.0;89831.0;0.455076755240396;2
23;Homöopathie;12.0;78674.0;0.464537204158934;2
24;Kapselmaschinen;1.0;97562.0;0.203378364527172;3
25;Kapselmaschinen;2.0;77435.0;0.215186930974366;3
26;Kapselmaschinen;3.0;87328.0;0.205340784170026;3
27;Kapselmaschinen;4.0;77147.0;0.205542665301308;3
28;Kapselmaschinen;5.0;76091.0;0.208513490425937;3
29;Kapselmaschinen;6.0;56431.0;0.203452003331502;3
30;Kapselmaschinen;7.0;69054.0;0.212312103571118;3
31;Kapselmaschinen;8.0;67095.0;0.231388329979879;3
32;Kapselmaschinen;9.0;78659.0;0.220966450120139;3
33;Kapselmaschinen;10.0;88600.0;0.222821670428894;3
34;Kapselmaschinen;11.0;144649.0;0.203195321087598;3
35;Kapselmaschinen;12.0;135537.0;0.191386853774246;3
36;Magen-Darm-Medikamente;1.0;103019.0;0.322125044894631;4
37;Magen-Darm-Medikamente;2.0;81637.0;0.345321361637493;4
38;Magen-Darm-Medikamente;3.0;92948.0;0.335284244954168;4
39;Magen-Darm-Medikamente;4.0;87816.0;0.314065773890863;4
40;Magen-Darm-Medikamente;5.0;94759.0;0.357401407781847;4
41;Magen-Darm-Medikamente;6.0;79523.0;0.405354425763616;4
42;Magen-Darm-Medikamente;7.0;80942.0;0.410133181784488;4
43;Magen-Darm-Medikamente;8.0;81314.0;0.396408737504628;4
