month;Akkus & Batterien;All in One PCs;Augen-, Ohren- & Nasenmedikamente;Autobatterien;Bestecke;Betriebssysteme;Bohrer & Bits;Bridgekameras;Champagner, Sekt & Prosecco;Clogs;Duschprodukte & Badprodukte;Dünger;Eingabestifte;Einkaufstaschen;Epilierer & Ladyshaver;Fahrradanhänger;Fahrradbeleuchtung;Fahrradschlösser;Ferngläser;Fritteusen;Funktionsunterwäsche;Gartenhäuser;Gartenlampen;Gartenpumpen;Gartenschläuche;Gartenstühle;Geldbörsen;Gelenk- & Muskelpräparate;Gin;Haarfarben;Haartrockner;Hairstyler;Herren-Halbschuhe;Herren-Shirts;Herren-Stiefel;Hochstühle;Homöopathie;Kaffee & Espresso;Kaffeemaschinen-Reinigung;Kaffeepadmaschinen;Kamera-Stative;Kamerataschen;Kamine & Öfen;Kapselmaschinen;Kinderfahrräder;Kinderroller;Kompressoren;Kuscheltiere;Küchenarmaturen;Kühlboxen;Laserdrucker;Liköre;Magen-Darm-Medikamente;Matratzen;Messer;Modelleisenbahnen;Motorradreifen;Motorsensen;Multifunktionswerkzeuge;Mülleimer;Nähmaschinen;Outdoor-Navigation;PC-Gehäuse;PC-Spiele;Pflege-Geschenksets;Plattenspieler;PowerLine;Rasierklingen & Scherköpfe;Rauchmelder;Reinigungsmittel;Rennräder;Rum;Sanitärinstallation;Schlagschrauber;Schmerzmittel;Skihelme & Snowboardhelme;Sonnenpflege;Sonnenschirme;Spielzeug-Fahrzeuge;Spirituosen & Schnaps;Sportbrillen;Sportnahrung;Spülen;Steckdosen;Steuersoftware;Stichsägen;Taschenmesser;Thermoskannen;Thermostate;Trainingsanzüge;Trekkingsandalen;Trinkflaschen;USB Sticks;Umhängetaschen;VR-Brillen;Verstärker;WC;Waschtrockner;Xbox One Spiele;Zubehör für Küchengeräte
1.0;24813.0;17435.0;19918.0;51583.0;24459.0;19102.0;13971.0;12204.0;9923.0;11516.0;17477.0;2581.0;11626.0;12375.0;9970.0;9866.0;13921.0;9803.0;14170.0;24420.0;24442.0;10137.0;23462.0;10425.0;3151.0;4126.0;14361.0;26359.0;9287.0;20091.0;14526.0;17768.0;20722.0;3041.0;31775.0;23348.0;35752.0;18244.0;33349.0;14035.0;18360.0;13535.0;19948.0;19842.0;7148.0;8191.0;12019.0;14318.0;29177.0;6445.0;17036.0;12836.0;33185.0;29822.0;22156.0;12433.0;9143.0;3401.0;14186.0;18905.0;13937.0;9951.0;21280.0;22742.0;13855.0;16814.0;16958.0;24355.0;21027.0;16843.0;9252.0;11067.0;24046.0;11304.0;20008.0;59175.0;10529.0;3013.0;13944.0;11201.0;8644.0;29454.0;18557.0;22674.0;26075.0;16702.0;15238.0;21365.0;32956.0;18417.0;5031.0;17746.0;18896.0;10986.0;14884.0;22558.0;21713.0;16420.0;20075.0;21435.0
2.0;17084.0;15366.0;19464.0;29035.0;15861.0;18621.0;11136.0;11038.0;8383.0;9815.0;14609.0;9712.0;10040.0;9974.0;7976.0;16937.0;12309.0;12917.0;12234.0;16434.0;18008.0;19704.0;22799.0;12356.0;5568.0;10832.0;10081.0;23878.0;8360.0;20409.0;12198.0;14495.0;18200.0;3614.0;15606.0;16789.0;33396.0;15369.0;25206.0;8813.0;14552.0;14724.0;14140.0;16663.0;12944.0;10718.0;12370.0;10673.0;22212.0;6479.0;13824.0;11253.0;28191.0;22110.0;15710.0;10284.0;13734.0;5013.0;12209.0;15685.0;12182.0;10876.0;16413.0;18285.0;13423.0;11312.0;12262.0;18358.0;19770.0;15771.0;9554.0;10236.0;20646.0;10896.0;17577.0;37100.0;15531.0;8634.0;8807.0;9712.0;11393.0;25718.0;24176.0;16809.0;19257.0;13764.0;13378.0;16166.0;19241.0;14378.0;5469.0;9174.0;12823.0;8238.0;7711.0;17084.0;18577.0;12175.0;15239.0;15968.0
3.0;17072.0;15466.0;20840.0;29095.0;16502.0;15905.0;13176.0;13011.0;9176.0;12133.0;16693.0;23111.0;11357.0;11756.0;10106.0;24925.0;13735.0;22164.0;14210.0;18153.0;15376.0;36889.0;21650.0;23074.0;14039.0;21147.0;11042.0;26065.0;9447.0;22397.0;12779.0;14276.0;19554.0;5142.0;10383.0;20512.0;36610.0;18082.0;26892.0;8901.0;16512.0;13968.0;11954.0;17932.0;22931.0;17636.0;16421.0;13108.0;22033.0;9196.0;14234.0;10275.0;31164.0;23598.0;16415.0;10060.0;21606.0;11076.0;15339.0;16502.0;15872.0;14853.0;16348.0;18183.0;12223.0;12594.0;11924.0;19304.0;19340.0;18618.0;11554.0;11490.0;21087.0;17000.0;18408.0;22061.0;23896.0;20977.0;11319.0;11040.0;12960.0;28295.0;25331.0;18357.0;17777.0;16035.0;13736.0;15158.0;15614.0;18267.0;7682.0;10904.0;15835.0;9611.0;10185.0;18121.0;20603.0;14695.0;15682.0;15959.0
4.0;14393.0;12895.0;20040.0;27330.0;14493.0;12486.0;11802.0;11945.0;9295.0;12279.0;16093.0;22577.0;10263.0;10650.0;13065.0;31593.0;12231.0;30191.0;14490.0;13104.0;11104.0;35760.0;21172.0;35205.0;34188.0;27569.0;10262.0;23561.0;9283.0;19250.0;12542.0;12808.0;21055.0;9304.0;6140.0;16002.0;33457.0;15186.0;22351.0;8766.0;14684.0;13290.0;8549.0;15857.0;23916.0;24093.0;13977.0;13180.0;19130.0;13596.0;11307.0;11326.0;27580.0;18767.0;13414.0;7775.0;20341.0;27370.0;13439.0;13579.0;10970.0;16611.0;12196.0;25281.0;11876.0;9099.0;10041.0;17304.0;13830.0;17640.0;12546.0;10767.0;17668.0;15342.0;16718.0;7545.0;40846.0;40720.0;11364.0;10183.0;14627.0;26121.0;20980.0;16439.0;11752.0;12144.0;12316.0;12852.0;10531.0;16253.0;10717.0;11301.0;12391.0;10285.0;6097.0;13892.0;16880.0;10979.0;12479.0;13347.0
5.0;15090.0;15092.0;23356.0;23880.0;15165.0;13762.0;11999.0;11992.0;9942.0;12543.0;17377.0;17627.0;7988.0;11401.0;16394.0;26727.0;11489.0;29115.0;15587.0;13341.0;11577.0;32342.0;20026.0;26155.0;27091.0;19252.0;12600.0;28842.0;11644.0;20882.0;12906.0;13247.0;22963.0;14158.0;5950.0;16278.0;39005.0;17701.0;25390.0;8406.0;15214.0;13508.0;8928.0;15866.0;17152.0;18010.0;13881.0;11113.0;19310.0;17929.0;11824.0;11546.0;33867.0;20517.0;13931.0;8071.0;20163.0;58487.0;14018.0;14350.0;11411.0;21076.0;12802.0;19055.0;14058.0;9713.0;11051.0;19131.0;14931.0;16942.0;14043.0;11874.0;18172.0;13734.0;17469.0;3353.0;42066.0;26692.0;9437.0;11244.0;14951.0;24916.0;20621.0;17569.0;10007.0;14245.0;13127.0;13122.0;10732.0;21957.0;11682.0;11935.0;12916.0;10210.0;7454.0;14290.0;15999.0;12505.0;13021.0;13710.0
6.0;12344.0;12148.0;21635.0;20741.0;12156.0;11566.0;8674.0;12080.0;8409.0;12290.0;15922.0;12533.0;7581.0;12654.0;18146.0;24684.0;9056.0;22703.0;14106.0;10384.0;9375.0;23460.0;17406.0;31882.0;38182.0;22488.0;9897.0;23502.0;12011.0;15876.0;8910.0;10888.0;15333.0;20910.0;3498.0;14143.0;31605.0;11333.0;18699.0;8693.0;13790.0;11271.0;5599.0;11481.0;14211.0;13254.0;12507.0;11603.0;14022.0;32438.0;9608.0;11390.0;32235.0;16885.0;10718.0;6370.0;20888.0;65048.0;10354.0;10761.0;9322.0;20604.0;10316.0;12180.0;10852.0;8005.0;11392.0;18255.0;9503.0;13318.0;15091.0;9525.0;14674.0;10303.0;18556.0;2170.0;75026.0;52924.0;7216.0;10201.0;17384.0;21183.0;15113.0;13394.0;7092.0;10783.0;11387.0;8451.0;6275.0;11923.0;27168.0;14514.0;9941.0;9372.0;9488.0;9854.0;12436.0;10407.0;11414.0;10823.0
7.0;15507.0;12946.0;21392.0;22754.0;14019.0;13755.0;10136.0;12650.0;10068.0;12761.0;20057.0;10441.0;7846.0;13777.0;16787.0;26117.0;12153.0;23257.0;15823.0;14238.0;10890.0;23955.0;19154.0;30979.0;38264.0;19965.0;12857.0;25435.0;13734.0;17765.0;13224.0;9612.0;16625.0;21016.0;5498.0;17908.0;31068.0;14955.0;21341.0;9028.0;15351.0;13345.0;7957.0;14661.0;12392.0;15295.0;12765.0;11579.0;17159.0;33855.0;11511.0;12967.0;33197.0;21242.0;13013.0;7455.0;16208.0;38615.0;12371.0;12998.0;11976.0;23159.0;13878.0;13708.0;12659.0;7743.0;11571.0;22683.0;12283.0;15838.0;17276.0;11267.0;18089.0;10639.0;20323.0;2709.0;46161.0;37063.0;10225.0;11255.0;18373.0;23982.0;17622.0;19243.0;9696.0;11745.0;13018.0;10293.0;8764.0;13374.0;25547.0;15789.0;11712.0;13146.0;8190.0;11336.0;14928.0;10045.0;11294.0;10966.0
8.0;16838.0;15087.0;20172.0;23693.0;15165.0;16776.0;10229.0;10822.0;9527.0;12562.0;18885.0;9491.0;10327.0;12385.0;14540.0;23617.0;16056.0;25098.0;16011.0;11318.0;11861.0;25558.0;19792.0;22664.0;19750.0;18824.0;13719.0;24635.0;11535.0;16403.0;10595.0;13133.0;18179.0;19086.0;6817.0;17893.0;31963.0;15740.0;21011.0;9516.0;18509.0;13350.0;13478.0;15525.0;15199.0;14223.0;11642.0;12611.0;16335.0;17973.0;12175.0;11632.0;32234.0;23794.0;13985.0;7911.0;15452.0;28098.0;11282.0;14638.0;11329.0;17207.0;15835.0;17239.0;10434.0;7849.0;12634.0;22056.0;13701.0;16139.0;17954.0;10835.0;18315.0;9524.0;22016.0;3841.0;26184.0;19475.0;11358.0;11143.0;15042.0;22397.0;18837.0;15854.0;3281.0;12566.0;15981.0;9732.0;8300.0;18034.0;19727.0;18455.0;13589.0;13706.0;8203.0;11715.0;17573.0;12045.0;12839.0;11221.0
9.0;18160.0;16798.0;19214.0;27806.0;15348.0;16194.0;10528.0;9928.0;9448.0;10923.0;18290.0;11032.0;16552.0;10423.0;10576.0;15495.0;19399.0;18997.0;14122.0;12916.0;11658.0;22305.0;20287.0;13432.0;9676.0;8050.0;11345.0;23835.0;9536.0;15220.0;11035.0;11712.0;20318.0;10792.0;16112.0;18998.0;33372.0;14885.0;20733.0;11629.0;19210.0;11443.0;28153.0;17381.0;13919.0;14382.0;13321.0;12698.0;18418.0;8274.0;15336.0;10830.0;31435.0;23140.0;14142.0;8670.0;14592.0;16567.0;11912.0;15008.0;12967.0;12888.0;16004.0;16924.0;10029.0;8834.0;12895.0;20886.0;15632.0;14969.0;14252.0;10018.0;19056.0;12887.0;20515.0;5666.0;13954.0;6491.0;12283.0;10611.0;9443.0;19027.0;19155.0;16993.0;3382.0;12987.0;13964.0;7679.0;23447.0;15651.0;8061.0;17177.0;14263.0;11548.0;9126.0;12385.0;17773.0;15060.0;22248.0;12159.0
10.0;22700.0;20298.0;21755.0;37967.0;17477.0;18271.0;14453.0;8760.0;11003.0;11090.0;19724.0;8284.0;20448.0;10994.0;8797.0;13129.0;20974.0;13096.0;16021.0;25866.0;13798.0;18009.0;25220.0;10802.0;6675.0;4594.0;11487.0;27447.0;11086.0;16217.0;16326.0;12315.0;22015.0;7821.0;31463.0;19323.0;37082.0;14952.0;26163.0;11306.0;14860.0;11412.0;35588.0;19742.0;11852.0;14955.0;17117.0;18737.0;20809.0;4420.0;15335.0;12833.0;34183.0;24149.0;15956.0;13664.0;11894.0;11357.0;14275.0;15752.0;15040.0;10642.0;17253.0;19268.0;14773.0;14649.0;13787.0;23365.0;17997.0;16668.0;11490.0;13807.0;18170.0;19926.0;20115.0;10753.0;11324.0;2619.0;18788.0;13549.0;7268.0;19181.0;20269.0;20483.0;2796.0;16692.0;16525.0;9788.0;40508.0;17131.0;4326.0;13993.0;14491.0;12040.0;10022.0;14740.0;17603.0;17834.0;23772.0;15548.0
