n_clusters;KMeans euclidean;KMeans dtw;KMeans soft dtw;KernelMeans;KShape
2;0.635;0.62;0.56;0.55;0.5800000000000001
3;0.6733333333333333;0.6333333333333333;0.63;0.54;0.53
4;0.6399999999999999;0.6125;0.6300000000000001;0.5425;0.3833333333333333
5;0.702;0.654;0.6719999999999999;0.538;0.565
6;0.6983333333333333;0.665;0.7266666666666666;0.5466666666666667;0.61
7;0.7342857142857142;0.6942857142857142;0.7314285714285713;0.5428571428571428;0.74
8;0.53375;0.6912499999999999;0.7287500000000001;0.53;0.7885714285714286
9;0.6766666666666666;0.6266666666666666;0.6588888888888889;0.5311111111111111;0.7374999999999999
10;0.705;0.654;0.6890000000000001;0.525;0.55
11;0.6472727272727273;0.6754545454545454;0.7090909090909091;0.5436363636363636;0.692
12;0.6583333333333333;0.6858333333333334;0.7091666666666666;0.525;0.7663636363636364
