n_clusters;KMeans euclidean;KMeans dtw;KMeans soft dtw;KernelMeans;KShape
2;0.575;0.5549999999999999;0.565;0.565;0.5800000000000001
3;0.6433333333333334;0.6433333333333332;0.6466666666666667;0.6566666666666666;0.6866666666666666
4;0.6925;0.675;0.6525;0.665;0.6575
5;0.7;0.716;0.722;0.67;0.682
6;0.7366666666666668;0.6849999999999999;0.7083333333333334;0.7066666666666667;0.5383333333333333
7;0.7400000000000001;0.6685714285714285;0.7171428571428571;0.7342857142857143;0.6271428571428571
8;0.75375;0.7112499999999999;0.7462500000000001;0.7075;0.7071428571428572
9;0.7622222222222221;0.7111111111111111;0.7611111111111111;0.7444444444444444;0.6755555555555555
10;0.761;0.6580000000000001;0.7730000000000001;0.756;0.6922222222222222
11;0.7618181818181818;0.6990909090909091;0.640909090909091;0.6936363636363637;0.591111111111111
12;0.7958333333333333;0.6383333333333333;0.7800000000000001;0.6875;0.6163636363636363
