"","category","month","year","pageimpressions","CR"
"1","Gartenhäuser",5,2019,116835,0.276817734411777
"2","Gartenhäuser",1,2019,44304,0.228805525460455
"3","Gartenhäuser",2,2019,73293,0.268838770414637
"4","Gartenhäuser",11,2019,48800,0.244959016393443
"5","Gartenhäuser",7,2019,90911,0.263499466511203
"6","Gartenhäuser",12,2019,38525,0.223387410772226
"7","Gartenhäuser",9,2019,84584,0.26370235505533
"8","Gartenhäuser",6,2019,87774,0.267277325859594
"9","Gartenhäuser",3,2019,136358,0.270530515261297
"10","Gartenhäuser",10,2019,65254,0.27598308149692
"11","Gartenhäuser",8,2019,95003,0.269023083481574
"12","Gartenhäuser",4,2019,127542,0.280378228348309
